Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (år)
Oslo - Blindern;SN18700;1938;7.1
Oslo - Blindern;SN18700;1939;6.2
Oslo - Blindern;SN18700;1940;4.7
Oslo - Blindern;SN18700;1941;4.4
Oslo - Blindern;SN18700;1942;4.3
Oslo - Blindern;SN18700;1943;6.8
Oslo - Blindern;SN18700;1944;6.3
Oslo - Blindern;SN18700;1945;6.7
Oslo - Blindern;SN18700;1946;6.2
Oslo - Blindern;SN18700;1947;5.8
Oslo - Blindern;SN18700;1948;6.2
Oslo - Blindern;SN18700;1949;7.3
Oslo - Blindern;SN18700;1950;5.9
Oslo - Blindern;SN18700;1951;5.9
Oslo - Blindern;SN18700;1952;5
Oslo - Blindern;SN18700;1953;6.9
Oslo - Blindern;SN18700;1954;5.4
Oslo - Blindern;SN18700;1955;5.7
Oslo - Blindern;SN18700;1956;4.9
Oslo - Blindern;SN18700;1957;5.8
Oslo - Blindern;SN18700;1958;5.1
Oslo - Blindern;SN18700;1959;6.8
Oslo - Blindern;SN18700;1960;5.8
Oslo - Blindern;SN18700;1961;6.5
Oslo - Blindern;SN18700;1962;4.8
Oslo - Blindern;SN18700;1963;4.8
Oslo - Blindern;SN18700;1964;5.6
Oslo - Blindern;SN18700;1965;5
Oslo - Blindern;SN18700;1966;4.8
Oslo - Blindern;SN18700;1967;5.9
Oslo - Blindern;SN18700;1968;5.4
Oslo - Blindern;SN18700;1969;5.6
Oslo - Blindern;SN18700;1970;4.9
Oslo - Blindern;SN18700;1971;6.3
Oslo - Blindern;SN18700;1972;6.2
Oslo - Blindern;SN18700;1973;6.4
Oslo - Blindern;SN18700;1974;7
Oslo - Blindern;SN18700;1975;7.2
Oslo - Blindern;SN18700;1976;5.9
Oslo - Blindern;SN18700;1977;5.8
Oslo - Blindern;SN18700;1978;5.2
Oslo - Blindern;SN18700;1979;4.6
Oslo - Blindern;SN18700;1980;5.3
Oslo - Blindern;SN18700;1981;5
Oslo - Blindern;SN18700;1982;6
Oslo - Blindern;SN18700;1983;6.8
Oslo - Blindern;SN18700;1984;6.5
Oslo - Blindern;SN18700;1985;4.2
Oslo - Blindern;SN18700;1986;5.3
Oslo - Blindern;SN18700;1987;4.4
Oslo - Blindern;SN18700;1988;6.4
Oslo - Blindern;SN18700;1989;7.5
Oslo - Blindern;SN18700;1990;7.6
Oslo - Blindern;SN18700;1991;6.5
Oslo - Blindern;SN18700;1992;6.9
Oslo - Blindern;SN18700;1993;5.9
Oslo - Blindern;SN18700;1994;6.1
Oslo - Blindern;SN18700;1995;6.2
Oslo - Blindern;SN18700;1996;5.3
Oslo - Blindern;SN18700;1997;7.2
Oslo - Blindern;SN18700;1998;6.4
Oslo - Blindern;SN18700;1999;6.8
Oslo - Blindern;SN18700;2000;7.8
Oslo - Blindern;SN18700;2001;6.2
Oslo - Blindern;SN18700;2002;7
Oslo - Blindern;SN18700;2003;7
Oslo - Blindern;SN18700;2004;7.2
Oslo - Blindern;SN18700;2005;7.4
Oslo - Blindern;SN18700;2006;7.7
Oslo - Blindern;SN18700;2007;7.2
Oslo - Blindern;SN18700;2008;7.5
Oslo - Blindern;SN18700;2009;6.7
Oslo - Blindern;SN18700;2010;4.8
Oslo - Blindern;SN18700;2011;7.4
Oslo - Blindern;SN18700;2012;6.6
Oslo - Blindern;SN18700;2013;6.7
Oslo - Blindern;SN18700;2014;8.3
Oslo - Blindern;SN18700;2015;7.6
Oslo - Blindern;SN18700;2016;7.3
Oslo - Blindern;SN18700;2017;6.9
Oslo - Blindern;SN18700;2018;7.8
Oslo - Blindern;SN18700;2019;7.3
Oslo - Blindern;SN18700;2020;8.7
Oslo - Blindern;SN18700;2021;7.2
Oslo - Blindern;SN18700;2022;7.8