"statistikkvariabel";"materiale";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"Farlig avfall til godkjent h�ndtering";"Farlig avfall - alle avfallstyper";543;611;596;602;806;898;970;1105;1056;1097;1023;1164;1215;1266;1282;1502;1587;1596;1654;1670;1645;1751;1828
"Farlig avfall til godkjent h�ndtering";"Oljeholdig avfall";116;131;148;171;140;199;245;268;293;333;389;450;444;566;484;522;589;490;541;617;559;560;582
"Farlig avfall til godkjent h�ndtering";"L�semiddelholdig avfall";12;13;12;11;33;15;27;21;21;32;27;28;21;32;32;37;38;35;41;44;46;38;51
"Farlig avfall til godkjent h�ndtering";"Annet organisk avfall";8;8;8;16;26;15;11;20;19;16;17;36;37;34;34;45;77;57;81;65;109;111;117
"Farlig avfall til godkjent h�ndtering";"Tungmetallholdig avfall og forurenset masse";154;169;163;196;356;396;424;492;484;462;384;404;424;379;394;523;511;598;552;556;603;648;628
"Farlig avfall til godkjent h�ndtering";"Etsende avfall";217;259;230;129;196;230;226;229;213;230;161;208;250;209;290;340;327;277;315;268;244;303;263
"Farlig avfall til godkjent h�ndtering";"Annet uorganisk avfall";1;1;1;1;1;3;3;3;3;4;5;7;7;8;10;10;13;13;26;18;16;14;15
"Farlig avfall til godkjent h�ndtering";"Prosessvann";30;23;19;20;6;35;27;26;13;10;32;27;30;36;38;23;31;102;98;73;60;76;171
"Farlig avfall til godkjent h�ndtering";"Fotokjemikalier";4;3;3;3;4;4;3;3;2;2;1;1;1;1;1;1;1;0;0;0;0;0;0
"Farlig avfall til godkjent h�ndtering";"Ukjent avfall";2;4;12;55;43;1;4;43;8;7;7;3;1;0;0;0;0;23;0;29;7;1;1